Ewe/V,Capacity/mA.h
2.73E-01,0.131122193
2.73E-01,0.131262291
2.73E-01,0.131402389
2.73E-01,0.131542485
2.73E-01,0.131682581
2.73E-01,0.131822674
2.73E-01,0.131962771
2.73E-01,0.132102875
2.73E-01,0.132242979
2.73E-01,0.13238308
2.72E-01,0.132523185
2.72E-01,0.132663286
2.72E-01,0.132803384
2.72E-01,0.132943483
2.72E-01,0.13308358
2.72E-01,0.133223679
2.72E-01,0.133363779
2.72E-01,0.133503881
2.72E-01,0.13364398
2.71E-01,0.133784077
2.71E-01,0.133924176
2.71E-01,0.134064276
2.71E-01,0.134204379
2.71E-01,0.134344479
2.71E-01,0.134484579
2.71E-01,0.134624676
2.71E-01,0.134764774
2.71E-01,0.134904866
2.71E-01,0.135044961
2.70E-01,0.135185058
2.70E-01,0.135325156
2.70E-01,0.135465252
2.70E-01,0.135605349
2.70E-01,0.135745445
2.70E-01,0.135885542
2.70E-01,0.136025645
2.70E-01,0.136165749
2.70E-01,0.136305852
2.70E-01,0.136445954
2.70E-01,0.136586055
2.69E-01,0.136726156
2.69E-01,0.136866256
2.69E-01,0.137006355
2.69E-01,0.137146452
2.69E-01,0.13728655
2.69E-01,0.137426644
2.69E-01,0.137566742
2.69E-01,0.137706845
2.69E-01,0.137846948
2.68E-01,0.137987047
2.68E-01,0.138127142
2.68E-01,0.138267234
2.68E-01,0.13840733
2.68E-01,0.138547427
2.68E-01,0.138687524
2.68E-01,0.138827622
2.68E-01,0.13896772
2.68E-01,0.139107819
2.68E-01,0.139247915
2.67E-01,0.139388011
2.67E-01,0.139528108
2.67E-01,0.139668204
2.67E-01,0.139808303
2.67E-01,0.139948398
2.67E-01,0.140088495
2.67E-01,0.140228596
2.67E-01,0.140368693
2.67E-01,0.140508787
2.66E-01,0.140648883
2.67E-01,0.14078898
2.66E-01,0.140929079
2.66E-01,0.141069181
2.66E-01,0.141209282
2.66E-01,0.141349384
2.66E-01,0.141489486
2.66E-01,0.141629586
2.66E-01,0.141769682
2.66E-01,0.141909776
2.66E-01,0.142049871
2.65E-01,0.142189964
2.65E-01,0.142330058
2.65E-01,0.142470156
2.65E-01,0.142610254
2.65E-01,0.142750352
2.65E-01,0.142890448
2.65E-01,0.143030543
2.65E-01,0.143170639
2.65E-01,0.143310737
2.64E-01,0.143450833
2.64E-01,0.143590933
2.64E-01,0.143731033
2.64E-01,0.143871133
