Ewe/V,Capacity/mA.h
9.49E-02,0.879120316
9.49E-02,0.878978597
9.49E-02,0.878836877
9.49E-02,0.878695157
9.48E-02,0.878553441
9.49E-02,0.878411722
9.49E-02,0.87827
9.49E-02,0.878128278
9.48E-02,0.877986559
9.50E-02,0.877844845
9.50E-02,0.877703133
9.49E-02,0.877561417
9.49E-02,0.877419701
9.50E-02,0.87727799
9.49E-02,0.877136277
9.49E-02,0.876994562
9.49E-02,0.87685285
9.50E-02,0.876711136
9.49E-02,0.876569426
9.50E-02,0.876427713
9.50E-02,0.876285998
9.50E-02,0.876144281
9.48E-02,0.876002564
9.50E-02,0.875860842
9.49E-02,0.875719124
9.49E-02,0.875577407
9.50E-02,0.875435692
9.50E-02,0.875293977
9.50E-02,0.875152263
9.51E-02,0.875010548
9.50E-02,0.87486883
9.50E-02,0.87472711
9.50E-02,0.87458539
9.51E-02,0.874443675
9.50E-02,0.874301962
9.50E-02,0.874160248
9.50E-02,0.874018533
9.49E-02,0.873876816
9.51E-02,0.873735098
9.49E-02,0.873593375
9.50E-02,0.873451655
9.50E-02,0.873309934
9.50E-02,0.873168217
9.49E-02,0.873026497
9.50E-02,0.872884779
9.50E-02,0.872743063
9.50E-02,0.872601345
9.50E-02,0.872459623
9.50E-02,0.8723179
9.50E-02,0.872176176
9.50E-02,0.872034452
9.50E-02,0.871892732
9.50E-02,0.871751007
9.51E-02,0.87160928
9.50E-02,0.871467558
9.51E-02,0.871325837
9.51E-02,0.871184119
9.51E-02,0.871042399
9.50E-02,0.870900682
9.50E-02,0.870758961
9.51E-02,0.870617238
9.52E-02,0.870475515
9.52E-02,0.870333795
9.49E-02,0.870192074
9.52E-02,0.870050351
9.52E-02,0.869908632
9.51E-02,0.869766912
9.51E-02,0.869625195
9.52E-02,0.869483477
9.51E-02,0.869341759
9.52E-02,0.869200037
9.51E-02,0.869058316
9.50E-02,0.868916597
9.50E-02,0.868774877
9.50E-02,0.868633156
9.50E-02,0.868491434
9.51E-02,0.868349714
9.51E-02,0.868207994
9.51E-02,0.868066273
9.51E-02,0.867924553
9.52E-02,0.867782831
9.51E-02,0.867641111
9.51E-02,0.867499391
9.51E-02,0.867357671
9.52E-02,0.867215949
9.52E-02,0.86707423
9.50E-02,0.866932511
9.52E-02,0.866790795
9.50E-02,0.866649081
9.52E-02,0.866507365
9.52E-02,0.866365646
9.51E-02,0.866223927
9.51E-02,0.866082209
9.51E-02,0.86594049
9.51E-02,0.865798771
9.51E-02,0.865657052
9.52E-02,0.865515336
9.51E-02,0.865373617
9.52E-02,0.865231897
9.52E-02,0.865090175
9.52E-02,0.864948457
9.53E-02,0.86480674
9.51E-02,0.864665024
9.52E-02,0.864523307
9.51E-02,0.864381588
9.51E-02,0.864239871
9.52E-02,0.864098153
9.52E-02,0.863956439
9.51E-02,0.86381472
9.53E-02,0.863672997
9.51E-02,0.863531273
9.51E-02,0.86338955
9.53E-02,0.863247828
9.52E-02,0.86310611
9.54E-02,0.862964391
9.53E-02,0.862822672
9.54E-02,0.862680951
9.51E-02,0.862539231
9.53E-02,0.862397515
9.52E-02,0.862255798
9.51E-02,0.862114082
9.53E-02,0.861972366
9.51E-02,0.86183065
9.53E-02,0.861688936
9.53E-02,0.861547222
9.53E-02,0.861405509
9.52E-02,0.861263794
9.53E-02,0.86112208
9.53E-02,0.860980365
9.53E-02,0.860838649
9.51E-02,0.860696929
9.54E-02,0.860555213
9.53E-02,0.860413496
9.53E-02,0.860271778
9.52E-02,0.860130058
9.54E-02,0.859988341
9.53E-02,0.859846622
9.53E-02,0.859704903
9.53E-02,0.859563184
9.52E-02,0.859421472
9.53E-02,0.859279757
9.53E-02,0.859138047
9.53E-02,0.858996334
9.53E-02,0.85885462
9.53E-02,0.858712909
9.53E-02,0.858571195
9.52E-02,0.858429483
9.53E-02,0.858287762
9.53E-02,0.858146045
9.54E-02,0.85800433
9.53E-02,0.857862616
9.52E-02,0.857720902
9.53E-02,0.857579189
9.54E-02,0.857437475
9.54E-02,0.857295756
9.54E-02,0.857154038
9.54E-02,0.857012321
9.54E-02,0.856870599
9.53E-02,0.856728879
9.53E-02,0.856587163
9.53E-02,0.856445444
9.55E-02,0.856303725
9.53E-02,0.856162005
9.53E-02,0.856020287
9.54E-02,0.855878568
9.54E-02,0.85573685
9.54E-02,0.85559513
9.53E-02,0.855453414
9.54E-02,0.855311695
9.54E-02,0.855169977
9.53E-02,0.855028259
9.54E-02,0.854886539
9.55E-02,0.854744821
9.54E-02,0.8546031
9.55E-02,0.85446138
9.54E-02,0.854319659
9.54E-02,0.854177943
9.54E-02,0.854036226
9.54E-02,0.853894512
9.54E-02,0.853752801
9.53E-02,0.853611083
9.55E-02,0.853469363
9.55E-02,0.853327644
9.54E-02,0.853185922
9.53E-02,0.853044196
9.55E-02,0.852902474
9.54E-02,0.852760759
9.54E-02,0.852619044
9.54E-02,0.852477329
9.54E-02,0.852335611
9.53E-02,0.852193889
9.55E-02,0.852052167
9.54E-02,0.851910449
9.55E-02,0.85176873
9.55E-02,0.851627012
9.54E-02,0.8514853
9.55E-02,0.851343584
9.54E-02,0.851201867
9.54E-02,0.851060149
9.53E-02,0.850918433
9.54E-02,0.850776717
9.54E-02,0.850635002
9.54E-02,0.850493287
9.55E-02,0.850351573
9.55E-02,0.850209857
9.55E-02,0.850068143
9.55E-02,0.849926433
9.55E-02,0.849784723
9.56E-02,0.849643013
9.56E-02,0.849501302
9.54E-02,0.849359589
9.55E-02,0.849217875
9.53E-02,0.849076163
9.55E-02,0.84893445
9.56E-02,0.848792739
9.55E-02,0.848651029
